id_correspondance,old_artisan_url,new_artisan_url,count_old,count_new,count_sum,,new actif
14920,bolomier-burdeyron,bolomier_burdeyron,4,,4,,1
14921,ain-stall_chauffage,ain_stall_chauffage,5,,5,,1
14922,r.p.n.,r_p_n,3,,3,,1
14923,2c_plomberie_et_chauffage,2c_plomberie_chauffage,19,,19,,1
14924,michaud_jean-luc_entreprise,michaud_jean_luc_entreprise,,,0,,1
14925,ah-son_alexandre,ah_son_alexandre,21,,21,,1
14926,missenard-quint_b_sa,missenard_quint_b_sa,25,,25,,1
14927,boyer_jean-paul,boyer_jean_paul,1,,1,,1
14928,bardin_jean-luc,bardin_jean_luc,11,,11,,1
14929,jean-michel_labouesse_sarl,jean_michel_labouesse_sarl,5,,5,,1
14930,confort_plus__auvergne,confort_auvergne,1,,1,,1
14931,harmand_schlauder_franck_-_au_fil_de_l_eau,harmand_schlauder_franck_au_fil_de_l_eau,11,,11,,1
14932,mastropietro_angelo_-_angel_eau,mastropietro_angelo_angel_eau,36,1,37,,1
14933,chomont-beny,chomont_beny,,,0,,1
14934,gargent_jean-francois,gargent_jean_francois,,,0,,1
14935,mamelet_-_cognet_ste_nelle_des_ets,mamelet_cognet_ste_nelle_des_ets,1,,1,,1
14936,dumas-giry,dumas_giry,39,,39,,1
14937,c.l.m_lecanu,c_l_m_lecanu,6,,6,,1
14938,porsenna_-_jpg,porsenna_jpg,1,,1,,1
14939,sevrin-vernay,sevrin_vernay,,,0,,1
14940,gizecki_eric_-_maintenance_gestion_energie,gizecki_eric_maintenance_gestion_energie,1,,1,,1
14941,preney_sylvain_-_dsp,preney_sylvain_dsp,2,,2,,1
14942,so.co.bat._sarl,so_co_bat_sarl,,,0,,1
14943,bocchiardo_marie-pierre_plomberie_chauffage,bocchiardo_marie_pierre_plomberie_chauffage,5,,5,,1
14944,lehmann_et_fils,lehmann_fils,3,,3,,1
14945,therma_g.e.d_chauffage_central_sanitaire,therma_g_e_d_chauffage_central_sanitaire,1,,1,,1
